borough,hour,congestion_ratio
Islington,2,1.0235561757107392
Islington,3,1.0022988098076544
Islington,4,0.9943985859243887
Islington,5,1.0233631636237428
Islington,6,1.1928093477510295
Islington,7,1.4865875066738792
Islington,8,1.706114924113828
Islington,9,1.7082307734891653
Islington,10,1.6459609621509719
Islington,11,1.6421576342944173
Islington,12,1.6651423046229072
Islington,13,1.6659277061107776
Islington,14,1.6567187448784018
Islington,15,1.7241183631060497
Islington,16,1.7113551315964834
Islington,17,1.7142440793924372
Islington,18,1.6689894959521236
Islington,19,1.5071860661994945
Islington,20,1.3832486468820155
Islington,21,1.3241780043841114
Islington,22,1.3189663659753146
Islington,23,1.2285756920599287
Kensington and Chelsea,0,1.0865147943588211
Kensington and Chelsea,1,1.0399090922038057
Kensington and Chelsea,2,1.0195853440929663
Kensington and Chelsea,3,0.9972165412449896
Kensington and Chelsea,4,0.9858970931011263
Kensington and Chelsea,5,1.0341775556819897
Kensington and Chelsea,6,1.2113023773318947
Kensington and Chelsea,7,1.452660180149957
Kensington and Chelsea,8,1.7466276290224725
Kensington and Chelsea,9,1.702234181429862
Kensington and Chelsea,10,1.715885719816972
Kensington and Chelsea,11,1.7666809021539251
Kensington and Chelsea,12,1.797316394148852
Kensington and Chelsea,13,1.778903175692764
Kensington and Chelsea,14,1.7689994551349209
Kensington and Chelsea,15,1.8548939177295174
Kensington and Chelsea,16,1.9037708911700317
Kensington and Chelsea,17,1.8622396677101418
Kensington and Chelsea,18,1.739218961414595
Kensington and Chelsea,19,1.5630754892340277
Kensington and Chelsea,20,1.4197020544914996
Kensington and Chelsea,21,1.32383465721694
Kensington and Chelsea,22,1.2819429044420632
Kensington and Chelsea,23,1.2019342353870694
Lambeth,0,1.0930328580288582
Lambeth,1,1.0458363917704598
Lambeth,2,1.0156647299914097
Lambeth,3,0.9950554107106697
Lambeth,4,0.9937922413419633
Lambeth,5,1.0436407650386377
Lambeth,6,1.234172541125325
Lambeth,7,1.5379929088675166
Lambeth,8,1.6979946857785306
Lambeth,9,1.5594198761870655
Lambeth,10,1.490490091822048
Lambeth,11,1.4950127066112522
Lambeth,12,1.5034053650165418
Lambeth,13,1.4984816555861225
Lambeth,14,1.5149686621721126
Lambeth,15,1.6326984377891405
Lambeth,16,1.6470232231686883
Lambeth,17,1.6419311807981427
Lambeth,18,1.5918248532437724
Lambeth,19,1.4633137859049528
Lambeth,20,1.3461392935859393
Lambeth,21,1.28584595593461
Lambeth,22,1.2544815233281088
Lambeth,23,1.1890070104058799
Lewisham,0,1.0955747993110778
Lewisham,1,1.0587557285094493
Lewisham,2,1.0278745912541523
Lewisham,3,1.0069501077219496
Lewisham,4,0.9997102699047706
Lewisham,5,1.0548024940863028
Lewisham,6,1.2828641714081555
Lewisham,7,1.573108494584549
Lewisham,8,1.7278359336147635
Lewisham,9,1.6013730988246693
Lewisham,10,1.494375213276401
Lewisham,11,1.481038850858582
Lewisham,12,1.5081933677917378
Lewisham,13,1.522551482454619
Lewisham,14,1.5643652440211742
Lewisham,15,1.7018918454951206
Lewisham,16,1.729758861374542
Lewisham,17,1.7140543688492058
Lewisham,18,1.578522459170999
Lewisham,19,1.4274788847070308
Lewisham,20,1.3137927645531695
Lewisham,21,1.2562666278804753
Lewisham,22,1.2026811215309567
Lewisham,23,1.1529960446745315
Newham,0,1.110346617609247
Newham,1,1.0700944431984654
Newham,2,1.052035249398334
Newham,3,1.0345767241125454
Newham,4,1.024278788081271
Newham,5,1.070726453207192
Newham,6,1.2887685091634757
Newham,7,1.4469397398461408
Newham,8,1.5769555562405855
Newham,9,1.4319081529873627
Newham,10,1.3564917363740907
Newham,11,1.3403473306196805
Newham,12,1.3623230298649736
Newham,13,1.3705635388390949
Newham,14,1.4796758871794693
Newham,15,1.6843381086137483
Newham,16,1.788164019689184
Newham,17,1.820449800899279
Newham,18,1.5887292576144951
Newham,19,1.4014615454054264
Newham,20,1.310142885609139
Newham,21,1.2553477282730825
Newham,22,1.2330976917445933
Newham,23,1.1986590799363035
Southwark,0,1.1078888857103928
Southwark,1,1.0484863288398392
Southwark,2,1.0145230246843895
Southwark,3,0.9947163577713064
Southwark,4,0.9959599053954268
Southwark,5,1.0409576574163122
Southwark,6,1.252277397168638
Southwark,7,1.5022911747743966
Southwark,8,1.6843509848282727
Southwark,9,1.604383843620846
Southwark,10,1.5549139580105378
Southwark,11,1.5531731505896886
Southwark,12,1.579267306063256
Southwark,13,1.5855110720989471
Southwark,14,1.5932098249675537
Southwark,15,1.6842891649085374
Southwark,16,1.6745278311387901
Southwark,17,1.6642080825491568
Southwark,18,1.6031231199994564
Southwark,19,1.4711061714423848
Southwark,20,1.358865504788121
Southwark,21,1.3024671418528533
Southwark,22,1.2663523088400468
Southwark,23,1.2078039094154314
Tower Hamlets,0,1.1292273866448885
Tower Hamlets,1,1.0651279973368983
Tower Hamlets,2,1.0302439494973363
Tower Hamlets,3,1.003703779525885
Tower Hamlets,4,0.9931942843207485
Tower Hamlets,5,1.045561760611343
Tower Hamlets,6,1.2627981763815885
Tower Hamlets,7,1.4926824398982637
Tower Hamlets,8,1.6640594265526538
Tower Hamlets,9,1.5960506784959072
Tower Hamlets,10,1.4864525099390722
Tower Hamlets,11,1.454196320874835
Tower Hamlets,12,1.4578254353332873
Tower Hamlets,13,1.476133962050569
Tower Hamlets,14,1.583804019746252
Tower Hamlets,15,1.739421576141746
Tower Hamlets,16,1.7193460442855393
Tower Hamlets,17,1.6887547069927542
Tower Hamlets,18,1.5817797143967338
Tower Hamlets,19,1.4290302274449678
Tower Hamlets,20,1.3063545164821924
Tower Hamlets,21,1.2613562663608213
Tower Hamlets,22,1.2815498898844682
Tower Hamlets,23,1.2528870963485637
Wandsworth,0,1.0882923569337757
Wandsworth,1,1.0511157116798406
Wandsworth,2,1.0291343410803628
Wandsworth,3,1.0088538771558333
Wandsworth,4,1.003108394004568
Wandsworth,5,1.0407803378797957
Wandsworth,6,1.2959600635364619
Wandsworth,7,1.711581066497165
Wandsworth,8,1.8891620617595393
Wandsworth,9,1.6966888614542983
Wandsworth,10,1.599540188664763
Wandsworth,11,1.5700230523938619
Wandsworth,12,1.5771801595664556
Wandsworth,13,1.566125092971735
Wandsworth,14,1.578943844883592
Wandsworth,15,1.6959348148788145
Wandsworth,16,1.7425176679835117
Wandsworth,17,1.7466801740365054
Wandsworth,18,1.6464727431547892
Wandsworth,19,1.4835712627967943
Wandsworth,20,1.3451471843926106
Wandsworth,21,1.274511963219121
Wandsworth,22,1.2321420144657167
Wandsworth,23,1.1712396748996778
Westminster,0,1.1338328846555565
Westminster,1,1.0435521001382504
Westminster,2,1.0053681117384758
Westminster,3,0.979362921686346
Westminster,4,0.9729275124145698
Westminster,5,1.0087465961781892
Westminster,6,1.1549688992014533
Westminster,7,1.391326636017454
Westminster,8,1.595100113415538
Westminster,9,1.6372243447972525
Westminster,10,1.674396372336201
Westminster,11,1.716806880622668
Westminster,12,1.7326698536306617
Westminster,13,1.692787551055489
Westminster,14,1.6621076419059475
Westminster,15,1.6852726744779352
Westminster,16,1.6796252356200483
Westminster,17,1.6788241668821806
Westminster,18,1.659187999488789
Westminster,19,1.5261506858367329
Westminster,20,1.3720339593334858
Westminster,21,1.332097838011941
Westminster,22,1.3564971533597512
Westminster,23,1.2580672601806449
