MSOA21CD_home,county_home,MSOA21CD_work,county_work,count
E02000002,GREATER_LONDON_AUTHORITY,E02000867,GREATER_LONDON_AUTHORITY,1
E02000002,GREATER_LONDON_AUTHORITY,E02000879,GREATER_LONDON_AUTHORITY,1
E02000002,GREATER_LONDON_AUTHORITY,E02000895,GREATER_LONDON_AUTHORITY,1
E02000002,GREATER_LONDON_AUTHORITY,E02000903,GREATER_LONDON_AUTHORITY,1
E02000002,GREATER_LONDON_AUTHORITY,E02000940,GREATER_LONDON_AUTHORITY,1
E02000002,GREATER_LONDON_AUTHORITY,E02000977,GREATER_LONDON_AUTHORITY,2
E02000002,GREATER_LONDON_AUTHORITY,E02006782,GREATER_LONDON_AUTHORITY,1
E02000002,GREATER_LONDON_AUTHORITY,E02006799,GREATER_LONDON_AUTHORITY,1
E02000002,GREATER_LONDON_AUTHORITY,E02006800,GREATER_LONDON_AUTHORITY,2
E02000002,GREATER_LONDON_AUTHORITY,E02006924,GREATER_LONDON_AUTHORITY,1
E02000002,GREATER_LONDON_AUTHORITY,E02006996,GREATER_LONDON_AUTHORITY,1
E02000002,GREATER_LONDON_AUTHORITY,E02007018,GREATER_LONDON_AUTHORITY,1
E02000003,GREATER_LONDON_AUTHORITY,E02000001,GREATER_LONDON_AUTHORITY,1
E02000003,GREATER_LONDON_AUTHORITY,E02000002,GREATER_LONDON_AUTHORITY,2
E02000003,GREATER_LONDON_AUTHORITY,E02000003,GREATER_LONDON_AUTHORITY,10
E02000003,GREATER_LONDON_AUTHORITY,E02000004,GREATER_LONDON_AUTHORITY,1
E02000003,GREATER_LONDON_AUTHORITY,E02000005,GREATER_LONDON_AUTHORITY,4
E02000003,GREATER_LONDON_AUTHORITY,E02000007,GREATER_LONDON_AUTHORITY,4
E02000003,GREATER_LONDON_AUTHORITY,E02000008,GREATER_LONDON_AUTHORITY,2
E02000003,GREATER_LONDON_AUTHORITY,E02000009,GREATER_LONDON_AUTHORITY,4
E02000003,GREATER_LONDON_AUTHORITY,E02000010,GREATER_LONDON_AUTHORITY,2
E02000003,GREATER_LONDON_AUTHORITY,E02000013,GREATER_LONDON_AUTHORITY,1
E02000003,GREATER_LONDON_AUTHORITY,E02000014,GREATER_LONDON_AUTHORITY,1
E02000003,GREATER_LONDON_AUTHORITY,E02000016,GREATER_LONDON_AUTHORITY,1
E02000003,GREATER_LONDON_AUTHORITY,E02000020,GREATER_LONDON_AUTHORITY,1
E02000003,GREATER_LONDON_AUTHORITY,E02000021,GREATER_LONDON_AUTHORITY,1
E02000003,GREATER_LONDON_AUTHORITY,E02000061,GREATER_LONDON_AUTHORITY,1
E02000003,GREATER_LONDON_AUTHORITY,E02000067,GREATER_LONDON_AUTHORITY,1
E02000003,GREATER_LONDON_AUTHORITY,E02000191,GREATER_LONDON_AUTHORITY,1
E02000003,GREATER_LONDON_AUTHORITY,E02000288,GREATER_LONDON_AUTHORITY,1
E02000003,GREATER_LONDON_AUTHORITY,E02000372,GREATER_LONDON_AUTHORITY,1
E02000003,GREATER_LONDON_AUTHORITY,E02000421,GREATER_LONDON_AUTHORITY,1
E02000003,GREATER_LONDON_AUTHORITY,E02000468,GREATER_LONDON_AUTHORITY,1
E02000003,GREATER_LONDON_AUTHORITY,E02000475,GREATER_LONDON_AUTHORITY,1
E02000003,GREATER_LONDON_AUTHORITY,E02000476,GREATER_LONDON_AUTHORITY,1
E02000003,GREATER_LONDON_AUTHORITY,E02000478,GREATER_LONDON_AUTHORITY,1
E02000003,GREATER_LONDON_AUTHORITY,E02000480,GREATER_LONDON_AUTHORITY,3
E02000003,GREATER_LONDON_AUTHORITY,E02000482,GREATER_LONDON_AUTHORITY,2
E02000003,GREATER_LONDON_AUTHORITY,E02000485,GREATER_LONDON_AUTHORITY,1
E02000003,GREATER_LONDON_AUTHORITY,E02000486,GREATER_LONDON_AUTHORITY,1
E02000003,GREATER_LONDON_AUTHORITY,E02000524,GREATER_LONDON_AUTHORITY,3
E02000003,GREATER_LONDON_AUTHORITY,E02000576,GREATER_LONDON_AUTHORITY,2
E02000003,GREATER_LONDON_AUTHORITY,E02000588,GREATER_LONDON_AUTHORITY,3
E02000003,GREATER_LONDON_AUTHORITY,E02000622,GREATER_LONDON_AUTHORITY,1
E02000003,GREATER_LONDON_AUTHORITY,E02000716,GREATER_LONDON_AUTHORITY,1
E02000003,GREATER_LONDON_AUTHORITY,E02000717,GREATER_LONDON_AUTHORITY,1
E02000003,GREATER_LONDON_AUTHORITY,E02000725,GREATER_LONDON_AUTHORITY,1
E02000003,GREATER_LONDON_AUTHORITY,E02000736,GREATER_LONDON_AUTHORITY,1
E02000003,GREATER_LONDON_AUTHORITY,E02000737,GREATER_LONDON_AUTHORITY,1
E02000003,GREATER_LONDON_AUTHORITY,E02000740,GREATER_LONDON_AUTHORITY,1
E02000003,GREATER_LONDON_AUTHORITY,E02000749,GREATER_LONDON_AUTHORITY,1
E02000003,GREATER_LONDON_AUTHORITY,E02000752,GREATER_LONDON_AUTHORITY,1
E02000003,GREATER_LONDON_AUTHORITY,E02000754,GREATER_LONDON_AUTHORITY,1
E02000003,GREATER_LONDON_AUTHORITY,E02000756,GREATER_LONDON_AUTHORITY,2
E02000003,GREATER_LONDON_AUTHORITY,E02000758,GREATER_LONDON_AUTHORITY,1
E02000003,GREATER_LONDON_AUTHORITY,E02000760,GREATER_LONDON_AUTHORITY,3
E02000003,GREATER_LONDON_AUTHORITY,E02000764,GREATER_LONDON_AUTHORITY,1
E02000003,GREATER_LONDON_AUTHORITY,E02000772,GREATER_LONDON_AUTHORITY,4
E02000003,GREATER_LONDON_AUTHORITY,E02000774,GREATER_LONDON_AUTHORITY,2
E02000003,GREATER_LONDON_AUTHORITY,E02000779,GREATER_LONDON_AUTHORITY,1
E02000003,GREATER_LONDON_AUTHORITY,E02000781,GREATER_LONDON_AUTHORITY,1
E02000003,GREATER_LONDON_AUTHORITY,E02000782,GREATER_LONDON_AUTHORITY,2
E02000003,GREATER_LONDON_AUTHORITY,E02000853,GREATER_LONDON_AUTHORITY,1
E02000003,GREATER_LONDON_AUTHORITY,E02000873,GREATER_LONDON_AUTHORITY,1
E02000003,GREATER_LONDON_AUTHORITY,E02000878,GREATER_LONDON_AUTHORITY,1
E02000003,GREATER_LONDON_AUTHORITY,E02000884,GREATER_LONDON_AUTHORITY,1
E02000003,GREATER_LONDON_AUTHORITY,E02000900,GREATER_LONDON_AUTHORITY,1
E02000003,GREATER_LONDON_AUTHORITY,E02000903,GREATER_LONDON_AUTHORITY,1
E02000003,GREATER_LONDON_AUTHORITY,E02000914,GREATER_LONDON_AUTHORITY,1
E02000003,GREATER_LONDON_AUTHORITY,E02000970,GREATER_LONDON_AUTHORITY,1
E02000003,GREATER_LONDON_AUTHORITY,E02000972,GREATER_LONDON_AUTHORITY,2
E02000003,GREATER_LONDON_AUTHORITY,E02000977,GREATER_LONDON_AUTHORITY,2
E02000003,GREATER_LONDON_AUTHORITY,E02006794,GREATER_LONDON_AUTHORITY,1
E02000003,GREATER_LONDON_AUTHORITY,E02006800,GREATER_LONDON_AUTHORITY,2
E02000003,GREATER_LONDON_AUTHORITY,E02007009,GREATER_LONDON_AUTHORITY,1
E02000003,GREATER_LONDON_AUTHORITY,E02007018,GREATER_LONDON_AUTHORITY,3
E02000003,GREATER_LONDON_AUTHORITY,E02007115,GREATER_LONDON_AUTHORITY,2
E02000004,GREATER_LONDON_AUTHORITY,E02000001,GREATER_LONDON_AUTHORITY,4
E02000004,GREATER_LONDON_AUTHORITY,E02000003,GREATER_LONDON_AUTHORITY,2
