MSOA21CD,prop_soc1,prop_soc2,prop_soc3,prop_soc4,prop_soc5,prop_soc6,prop_soc7,prop_soc8,prop_soc9
E02000838,0.17736356648731744,0.33647194465795544,0.19485011529592622,0.05822444273635665,0.048039969254419675,0.06437355880092237,0.03977709454265949,0.0207532667179093,0.06014604150653344
E02000839,0.1721132897603486,0.32098765432098764,0.1711450012103607,0.07358992979908012,0.06318082788671024,0.06850641491164366,0.04091019123698862,0.03146937787460663,0.05809731299927379
E02000840,0.1080018501387604,0.16188714153561518,0.1070767807585569,0.0982886216466235,0.12742830712303424,0.1265032377428307,0.07631822386679,0.08325624421831637,0.11123959296947271
E02000841,0.08693673190714611,0.16772872098315886,0.0974055530268548,0.09899863450159307,0.12994993172507965,0.12312243969048703,0.09308147473827948,0.0760127446517979,0.1267637687756031
E02000842,0.11561670287231475,0.20275162925416365,0.12334057446294955,0.12334057446294955,0.12116823557808351,0.09582428192131306,0.07868694182959209,0.06589427950760318,0.07337678011103066
E02000843,0.12995426829268292,0.24047256097560976,0.15129573170731708,0.1211890243902439,0.09527439024390244,0.08860518292682927,0.055640243902439025,0.05125762195121951,0.0663109756097561
E02000844,0.11355140186915888,0.18037383177570093,0.12546728971962617,0.09766355140186916,0.1338785046728972,0.10537383177570094,0.07850467289719626,0.06705607476635514,0.09813084112149532
E02000845,0.16240016383370878,0.2586524677452386,0.15338930985050175,0.09993856235920541,0.09522834323161991,0.07208683186565636,0.05263157894736842,0.044644685644071265,0.061028056522629534
E02000846,0.14154892726321297,0.23469387755102042,0.13396127681841968,0.10858189429618001,0.09837781266352695,0.08346415489272632,0.0716902145473574,0.05311355311355311,0.07456828885400314
E02000847,0.1613181132888219,0.24510015076459185,0.13762653456816715,0.11091966401033815,0.1040275683825113,0.07925909972000862,0.061598104673702345,0.04566013353435279,0.05449063105750592
E02000848,0.1247327156094084,0.21073889284865763,0.1385127108576859,0.12829650748396293,0.11641720123544785,0.08933238298883345,0.07460204324067475,0.051793775243525776,0.06557377049180328
E02000849,0.14378769601930036,0.22219541616405308,0.14089264173703256,0.1141133896260555,0.10156815440289506,0.09264173703256937,0.06779252110977081,0.04487334137515078,0.0721351025331725
E02000850,0.12623130244436337,0.21725647573878146,0.1424662531922656,0.120576431959139,0.10051076249543962,0.08609996351696461,0.08445822692448011,0.05691353520612915,0.06548704852243707
E02000851,0.12150159208982739,0.240824534942182,0.1339031339031339,0.09217362158538629,0.10491034020445786,0.0915032679738562,0.07206301323948383,0.049438578850343556,0.09368191721132897
E02000852,0.12310207895351553,0.24947442186405044,0.15487035739313246,0.11188974538659192,0.09904227984115861,0.08876430740481196,0.05956552207428171,0.04531651483298295,0.06797477224947442
E02000853,0.13626479826044938,0.22759120560521864,0.13505677699927518,0.10654747523556414,0.11162116453249578,0.08746073930901184,0.06209229282435371,0.056052186518482726,0.07731336071514859
E02000854,0.1586452762923351,0.2936083524318818,0.16297428062133945,0.10160427807486631,0.08021390374331551,0.0628978864272982,0.053475935828877004,0.03590527119938885,0.050674815380697735
E02000855,0.18469259723964868,0.2604767879548306,0.14629861982434128,0.11392722710163111,0.08105395232120452,0.06750313676286072,0.06097867001254705,0.03814303638644918,0.046925972396486826
E02000856,0.1400852878464819,0.26396588486140726,0.15074626865671642,0.11066098081023454,0.09786780383795309,0.07867803837953091,0.05458422174840085,0.04371002132196162,0.05970149253731343
E02000857,0.13091684434968018,0.2974413646055437,0.13560767590618336,0.09616204690831556,0.08464818763326226,0.07846481876332623,0.057569296375266525,0.04818763326226013,0.07100213219616204
E02000858,0.1054783319705642,0.17525211229217771,0.1166530389751976,0.10084491687108203,0.09839193240665031,0.11474516216952849,0.09266830198964296,0.08013082583810302,0.11583537748705369
E02000859,0.15454310121667097,0.25213564587108467,0.14056432824229873,0.11079471913020968,0.0862024333419622,0.08568470100957805,0.06135128138752265,0.04840797307791871,0.06031581672275434
E02000860,0.11587693689647428,0.26364248821019537,0.1345160565910622,0.09656411408039524,0.09274646305861217,0.09701324949472266,0.060408713227037954,0.056141926790927464,0.08309005165057265
E02000861,0.21159659247045892,0.31134927177796096,0.13794998625996152,0.11514152239626271,0.06842539159109645,0.0524869469634515,0.038197306952459466,0.028029678483099753,0.03682330310524869
E02000863,0.18343014368694588,0.2650565576276368,0.1305411189238765,0.11739529195964536,0.08865790278202385,0.07031488841332925,0.05105472332619994,0.044023234484867016,0.04952613879547539
E02000864,0.14654873395768298,0.2953520638224072,0.1990981616371835,0.06711758584807492,0.046826222684703434,0.07023933402705515,0.05619146722164412,0.045438779049601107,0.07318765175164758
E02000865,0.11645501215887598,0.27343961091596863,0.1961631991353688,0.07484463658470683,0.05133747635774115,0.07403404485274251,0.0761956228046474,0.052688462577681706,0.08484193461226695
E02000866,0.13151536071798411,0.33154987918536416,0.21608560579910252,0.07438729720400414,0.04556437694166379,0.04780807732136693,0.04780807732136693,0.03676216775975147,0.06851915774939593
E02000867,0.14368253002888856,0.3279610764786377,0.20206781207237343,0.0618823171658811,0.04196442146875475,0.05443211190512392,0.06036186711266535,0.03299376615478181,0.07465409761289342
E02000868,0.13170731707317074,0.3026957637997433,0.22387676508344032,0.06367137355584082,0.03748395378690629,0.059050064184852376,0.057766367137355584,0.05006418485237484,0.07368421052631578
E02000869,0.13494461228600202,0.31856327626720377,0.21215172876804297,0.06008727760993622,0.04061765693185633,0.05673044645854314,0.05706612957368244,0.04934541792547835,0.07049345417925479
E02000870,0.11758989310009718,0.27243278263686427,0.19663103336572724,0.08357628765792031,0.05539358600583091,0.06835114998380304,0.0741820537738905,0.04859086491739553,0.08325234855847101
E02000871,0.09724320241691843,0.26529456193353473,0.1497356495468278,0.07722809667673716,0.05929003021148036,0.08024924471299094,0.09667673716012085,0.06306646525679759,0.11121601208459214
E02000872,0.1383103206178329,0.32717060613152354,0.19588111397144864,0.06318745611982214,0.0458694125906857,0.053358296278960916,0.06576175988766675,0.041656915516030894,0.06880411888602855
E02000873,0.1155714650984403,0.27844541038097675,0.164919457939146,0.07236001022756328,0.05241626182562004,0.07568396829455382,0.09486064945026847,0.05343901815392483,0.09230375862950652
E02000874,0.10174685871897027,0.2675452038001839,0.15599141893962612,0.08060067422617223,0.06527735212994178,0.06711615078148943,0.09776279497395035,0.06221268771069568,0.10174685871897027
E02000875,0.10176062025520917,0.26861573251494103,0.17137780649329673,0.07753190114682604,0.05895654983039897,0.07898562429332903,0.08560814084962041,0.0571797770957842,0.09998384752059442
