MSOA11CD,active_commuters,prop_car,prop_pt,prop_active
E02000375,3605,0.13231622746185853,0.6274618585298197,0.23217753120665743
E02000376,3891,0.15008995116936522,0.6031868414289385,0.24184014392187098
E02000377,4168,0.1677063339731286,0.6026871401151631,0.22408829174664108
E02000378,3772,0.13282078472958642,0.6394485683987274,0.22163308589607636
E02000379,3771,0.19915141872182446,0.5775656324582339,0.2145319543887563
E02000380,3051,0.1707636840380203,0.5860373647984267,0.23533267781055392
E02000381,4090,0.14938875305623472,0.6092909535452323,0.23471882640586797
E02000382,3038,0.16984858459512836,0.5974325213956551,0.22481895984200131
E02000383,4926,0.13134388956557044,0.6522533495736906,0.20787657328461226
E02000384,3497,0.12267657992565056,0.6193880468973406,0.24792679439519588
E02000385,4012,0.1084247258225324,0.6979062811565304,0.1864406779661017
E02000386,3843,0.12932604735883424,0.6484517304189436,0.21519646109810045
E02000387,3258,0.14303253529772866,0.5859422958870473,0.26212400245549416
E02000388,4661,0.1527569191160695,0.6219695344346706,0.2175498819995709
E02000389,4299,0.1977204000930449,0.560130262851826,0.23540358222842522
E02000390,3435,0.1767103347889374,0.5892285298398835,0.2262008733624454
E02000391,3817,0.18365208278752948,0.6159287398480482,0.18967775740110035
E02000392,5150,0.15106796116504853,0.652621359223301,0.18951456310679612
E02000393,3529,0.19353924624539529,0.6095211107962596,0.18758855199773306
E02000394,3807,0.20541108484370896,0.5587076438140268,0.21486734961912266
E02000395,3131,0.18684126477163845,0.6327052060044714,0.17119131267965507
E02000396,3178,0.2130270610446822,0.5670232850849591,0.20956576463184393
E02000397,3897,0.22042596869386707,0.6979727995894278,0.07723890171927124
E02000398,2383,0.2702475870751154,0.6240033571128829,0.09819555182543013
E02000400,3559,0.275920202304018,0.6347288564203428,0.08373138522056757
E02000401,2343,0.35766111822449853,0.5360648740930432,0.09560392658984208
E02000402,2339,0.31124412141941,0.5985463873450192,0.08165882855921335
E02000403,3725,0.20241610738255034,0.7041610738255033,0.08805369127516778
E02000404,3136,0.23118622448979592,0.6712372448979592,0.09024234693877552
E02000405,3250,0.31323076923076926,0.564,0.11415384615384615
E02000406,3146,0.22091544818817546,0.6671964399237127,0.10584869675778767
E02000407,2827,0.2476123098691192,0.6480367881146091,0.09939865581888928
E02000408,2735,0.2226691042047532,0.6588665447897624,0.11407678244972577
E02000409,2510,0.27131474103585657,0.6131474103585658,0.10677290836653386
E02000410,3462,0.28682842287694976,0.5932986712882726,0.1146735990756788
E02000411,3008,0.21808510638297873,0.6901595744680851,0.08444148936170212
E02000412,3124,0.1674135723431498,0.7029449423815621,0.12259923175416133
E02000413,3341,0.3055971266087998,0.5570188566297516,0.1307991619275666
E02000414,3247,0.21558361564521097,0.6553741915614413,0.12319063751154913
E02000415,3376,0.19520142180094788,0.6999407582938388,0.09834123222748815
E02000416,3657,0.2318840579710145,0.6270166803390758,0.13453650533223954
E02000417,3513,0.24167378309137488,0.6208368915456874,0.13065755764304013
E02000418,2751,0.2875318066157761,0.5434387495456198,0.1599418393311523
E02000419,4279,0.16475812105632157,0.6919841084365506,0.13671418555737322
E02000420,3274,0.18814905314599878,0.6860109957238851,0.12064752596212584
E02000421,2994,0.156312625250501,0.7421509686038744,0.09585838343353373
E02000422,3321,0.19391749473050285,0.683227943390545,0.11954230653417645
E02000423,3560,0.16151685393258428,0.6991573033707865,0.13146067415730336
